"PLAN","SPECIES","405GGG","406GGG","407GGG","408GGG","409GGG","410GGG","411GGG","412GGG","413GGG","414GGG","415GGG","416GGG","417GGG","418GGG","419GGG","420GGG"
"hougO","solhou",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",30,-2,-2,10,-2,-2,10,3,5,5,10,-1,-1,10,-1,-2 
"caleO","steant",-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",5,5,5,5,5,5,-1,-1,-1,5,5,-2,-2,5,5,-2 
"mexiO","strocc",-2,-2,-2,10,-2,10,-2,10,10,10,-2,10,-2,-2,-2,-2 
"loweO","sylpal",5,5,5,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-1,-2,-1 
"lanaO","tetrem",-2,5,5,-2,-2,5,5,-2,-2,5,-2,-2,-2,-2,-2,5 
"karsO","texred",-1,-2,-2,-1,-2,-2,5,5,-1,20,-1,-2,-1,-1,-1,-2 
"coolO","thacoo",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pedaO","theste",-2,-1,-2,10,10,10,10,10,-2,10,-2,-2,-2,10,1000,-2 
"soccO","thethe",-2,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-2,-1,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2 
"attwR","tymcup",-1,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"grizR","ursarc",-2,-2,6,-2,-2,6,-2,-2,-2,-2,-2,-2,-2,6,-2,6 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ziztex",5,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2 
