"PLAN","SPECIES","89B","90B","91B","92B","93B","94B","95B","96B","97B","98B","99B","100B","101B","102B","103B","104B","105B","106B","107B","108B","109B","110B","111B","112B","113B","114B","115B","116B","117B","118B","119B","120B","121B","122B","123B","124B","125B","126B"
"kaupO","lipfau",2,2,-2,-2,-2,2,2,2,2,2,-2,3,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"oahpO","loboah",2,-2,-2,-2,-2,2,-2,3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"flscR","lupari",2,2,-2,-2,-2,2,2,2,2,2,-2,2,-1,-2,-2,-2,-2,-2,2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"lotiO","lycarg",1,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"roleO","lysasp",2,2,-2,-2,-2,2,2,1,1,2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,2,-2 
"apalO","macalb",2,-2,-2,-2,-2,2,2,-2,2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,-2 
"mohrO","marmoh",2,-2,-2,-2,-2,-2,-2,2,6,-2,-2,3,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"kaupO","melpal",2,2,-2,-2,-2,-2,-2,6,6,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","melsai",2,2,-2,-2,-2,2,2,2,2,2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"armaO","miccal",2,3,3,3,-2,3,3,-2,1,2,-2,2,2,2,2,-2,-2,-2,3,2,2,2,2,2,-2,-2,-2,-2,-2,-2,3,2,2,-2,2,2,2,-2 
"hualO","micmex",2,2,-2,-2,-2,2,2,2,3,2,-2,-2,2,2,-2,2,-2,-2,-2,2,3,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,2,-2,2,2,2,2 
"blacR","musnig",3,2,-2,-2,-2,-2,2,2,2,3,-2,3,-2,3,-2,3,5,-2,3,2,3,3,-2,-2,-2,3,3,-2,-2,-2,2,3,3,3,3,-2,-2,-2 
"kaufO","myapal",2,2,-2,-2,-2,2,2,2,3,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,-2,-2 
"woodO","mycame",2,-2,2,3,-2,6,2,6,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,7,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,3,-2,7,-2 
"indiR","myosod",3,3,-2,3,2,2,2,-2,2,-2,-2,3,3,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2 
"oahpO","nothum",1,1,-2,-2,-2,-1,-2,-1,-1,-2,-2,2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2 
"capeO","notmek",2,2,-2,-2,-2,2,2,2,2,2,-2,2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2 
"neosO","notpla",3,2,-2,-2,-2,2,2,2,1,2,-2,-2,2,2,3,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,2,-2,2,-2,2,-2 
"ringO","oboret",2,2,-2,-2,-2,2,2,2,2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,2,-2,-2,-2 
"keydR","odvicl",2,-2,-2,-2,-2,-2,2,1,1,-2,-2,3,-2,3,-2,3,-2,-2,3,-2,3,2,3,3,3,-2,-2,-2,-2,-2,-2,4,4,-2,4,-2,-2,-2 
"coluR","odvile",3,3,3,-2,-2,2,2,2,2,2,-2,3,3,3,2,3,-2,-2,-2,2,3,-2,3,-2,-2,4,-2,-2,3,2,-2,3,4,-2,3,2,2,-2 
"antiR","oendel",2,3,-2,-2,-2,2,2,-2,2,2,-2,3,2,2,-2,-2,-2,-2,2,2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2 
"arizR","oncapa",2,2,2,2,-2,2,2,2,2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,2,2,3,2,2,-2,-2,2,2,-2,2,2,-2,-2 
