"PLAN","SPECIES","347SS","348SS","349SS","350SS","351SS","352SS","353SS","354SS","355SS","356SS","357SS","358SS","359SS","360SS","361SS","362SS","363SS","364SS","365SS","366SS","367SS","368SS","369SS","370SS"
"kendO","rhiosc",-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"chapO","rhocha",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,-1,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,2,-2,-1,-2,-2,-2,-2,-1,-2,-1,-1,-2 
"pallO","scaalb",2,3,3,3,3,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"maplO","schhal",-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2 
"oahpO","schkaa",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-1,-2,-2 
"oahpO","schkea",-2,-1,-1,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-1,-1,-2,-2,-1,-1,-2 
"kaupO","schspe",2,2,2,2,2,2,2,2,2,2,-2,2,-2,-2,2,2,2,2,2,1,1,1,1,-2 
"delmR","scinig",1,2,2,-2,-2,-2,2,-2,-2,-2,2,2,3,-2,-2,-2,-2,-2,1,-2,-2,-2,3,-2 
"enruO","soldry",1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1 
"alabR","spepou",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1 
"caleO","steant",-2,1,1,1,1,-2,1,1,1,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,1 
"kaupO","stecam",2,2,2,2,2,2,2,2,2,2,-2,2,-2,-2,2,2,2,2,2,1,1,1,1,-2 
"mexiO","strocc",-2,2,3,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,3,-2 
"loweO","sylpal",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",-1,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1 
"karsO","texred",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2,2,2,2 
"coolO","thacoo",2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2 
"pedaO","theste",-2,2,2,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,2,2,-2 
