"bayoR","ethrub","bayoR","ethrub","Faulkner","Etheosto","rubrum","-2","Rainey a","bayou da",1,1,1975,9,25,0,-2,-2,-2,"-1",0,0,0,5,3,2,-1,-1,-1,-1,21,1,-2,9,0,0,"USFWS4",1,1,-3,1,-1,0 
"maryR","ethsel","maryR","ethsel","Withey12","Etheosto","sellare","-2","Radcliff","Maryland",1,2,1967,3,11,1,1984,8,29,"-1",0,0,0,5,3,-1,3,3,2,3,21,1,-2,8,0,0,"USFWS5",1,1,-3,1,1,1 
"elseO","eupbat","elseO","eupbat","Lucia189","Euphilot","battoide","allyni","Shields","El Segun",2,2,1976,6,1,0,-2,-2,-2,"3",0,0,0,6,2,4,2,2,2,3,-1,1,-1,4,0,0,"USFWS1",1,3,1,1,1,1 
"edwaR","eurnan","edwaR","eurnan","Falcone1","Eurycea","Nana","-2","-3","San Marc",1,1,1980,8,14,1,1980,7,10,"-3",0,0,0,4,3,4,2,3,1,3,20,1,-2,9,0,0,"USFWS2",1,1,3,1,0,0 
"pereO","falper","pereO","falper","Morse75","Falco","peregrin","-2","-2","eastern",3,2,1970,10,13,0,-2,-2,-2,"-1",0,0,0,2,3,3,5,2,5,2,27,2,-2,24,1,1,"USFWS1",2,2,2,1,1,0 
"ampeO","falper","ampeO","falper","Drees90","falco","peregrin","annatum","hickey","american",3,2,1970,0,0,-1,-1,-1,-1,"-3",0,0,0,2,3,-1,6,2,-1,2,-1,1,-2,24,1,1,"USFWS1",-1,-1,2,0,1,1 
"hawwR","fulame","hawwR","fulame","Dollar14","Fulica","american","alai","Schallen","Hawaiian",2,2,-1,-1,-1,1,-1,-1,-1,"-1",0,0,0,2,4,-1,-1,1,-1,2,27,2,-1,2,0,0,"USFWS1",2,2,1,1,1,0 
"lanaO","gahlan","lanaO","gahlan","Morse75","Gahnia","lanaiens","-2","-2","-1",1,2,1991,10,21,0,-2,-2,-2,"5",0,0,0,14,1,0,-1,2,-1,2,1,1,-1,2,0,0,"USFWS1",1,1,4,0,1,0 
"hawwR","galchl","hawwR","galchl","Shaw205","Gallinul","chloropu","sandvice","-1","Hawaiian",2,2,1967,2,24,0,-2,-2,-2,"-3",0,0,0,2,2,-1,-1,2,-1,2,27,2,-2,2,0,0,"USFWS1",2,2,-3,1,1,1 
"edwaR","gamgeo","edwaR","gamgeo","Lundquis","Gambusia","georgei","-2","Hubbs an","San Marc",1,2,1980,8,14,1,1980,8,14,"2C",0,0,0,5,3,-1,2,4,1,4,21,1,3,9,0,0,"USFWS2",1,1,1,1,1,1 
"hawgO","garbri","hawgO","garbri","Kimball1","Gardenia","brighami","-1","-2","Hawaiian",1,2,1985,9,20,0,-2,-2,-2,"2",0,0,0,14,1,0,-1,2,-1,2,-3,1,-1,2,0,0,"USFWS1",1,3,-3,1,1,0 
"unarR","gasacu","unarR","gasacu","hahn127","gasteros","aculeatu","williams","girard","unarmore",2,2,1970,-1,-1,0,-2,-2,-2,"-1",0,0,0,5,3,2,4,1,2,2,21,1,1,4,1,0,"USFWS1",2,2,-2,1,0,0 
"maplO","gerarb","maplO","gerarb","Leyse217","Geranium","arboreum","-2","Gray","Hawaiian",1,2,1992,5,13,0,-2,-2,-2,"2",0,0,0,14,1,0,3,3,2,3,1,1,3,2,0,0,"USFWS1",2,3,4,0,1,0 
