"PLAN","SPECIES","405III","406III","407III","408III","409III","410III","411III","412III","413III","414III","415III","416III","417III","418III","419III","420III"
"pedaO","theste",-2,-1,-2,-1,-1,-1,-1,-1,-2,-1,-2,-2,-2,-1,-2,-2 
"soccO","thethe",-2,6,-2,-2,-2,6,-2,-2,-2,6,-2,-2,6,-2,6,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,6 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",-1,3,-2,-2,-2,-2,-2,6,6,-2,-2,-2,-2,-2,-1,-2 
"grizR","ursarc",-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,3 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",1,1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,1,-2 
"edwaR","ziztex",6,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,6,-2,6,-2 
