"PLAN","SPECIES","443ZZZ","444ZZZ","445ZZZ","446ZZZ","447ZZZ","448ZZZ","449ZZZ","450ZZZ","451ZZZ","452ZZZ","453ZZZ","454ZZZ","455ZZZ","456ZZZ","457ZZZ","458ZZZ"
"karsO","texred",-2,-2,-2,-1,-2,-2,1,2,1,1,-2,-2,-1,-1,2,-2 
"coolO","thacoo",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pedaO","theste",-2,-2,0,0,-2,0,-2,0,0,0,0,-2,0,0,-2,0 
"soccO","thethe",-2,1,-2,-2,-2,1,-2,-2,-2,1,-2,-2,1,-2,1,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",1,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2 
"attwR","tymcup",-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,-2 
"grizR","ursarc",-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,1,-2,1,-2,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2 
"edwaR","ziztex",1,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,1,-2,1,-2 
