"PLAN","SPECIES","308LL","309LL","310LL","311LL","312LL","313LL","314LL","315LL","316LL","317LL","318LL","319LL","320LL","321LL","322LL","323LL","324LL","325LL","326LL","327LL","328LL","329LL","330LL","331LL","332LL","333LL","334LL","335LL","336LL","337LL","338LL","339LL","340LL","341LL","342LL","343LL"
"flscO","hypcum",-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"smalR","isomed",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",-2,12,12,-2,12,12,-2,-2,12,12,-2,12,12,12,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,12 
"oahpO","labcyr",-2,-2,-2,-2,12,-2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pinkO","lamabr",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"snakO","lanxsp",-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,8,-2,-2,-2,-2,-2,-1 
"caroO","lasdec",-2,1,-2,-2,1,-2,-2,-2,1,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,12,12,-2,8,-2,-2,-2,-2,-2,-2,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2 
"kaupO","lipfau",-2,12,12,-2,12,-2,12,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",-2,-2,-2,-2,12,-2,2,-2,-2,2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,1,-2,-2,12 
