"biadO","phyrac","biadO","phyrac","Funk44",-1,-1,-1,20,16,20,3,0,0,6,0,0,5,0,20,7697,2120,1120,-3,1,1 
"redcR","picbor","redcR","picbor","Latty22",0,0,0,31,31,29,0,0,0,0,15,16,5,0,-2,-1,-1,-1,-1,0,1 
"ropiO","pleple","ropiO","pleple","Pauliuko",0,0,0,24,24,24,24,0,0,0,0,0,9,0,-1,-1,-1,-1,-1,-1,1 
"shenO","pleshe","shenO","pleshe","Glushkof",0,0,0,0,21,14,0,0,0,0,0,0,1,0,-2,-1,-1,-1,-3,1,1 
"fishR","poeocc","fishR","poeocc","Allison1",0,1,0,29,4,23,0,0,0,0,0,0,0,7,10,-1,-1,-1,-3,0,0 
"cavpO","pognud","cavpO","pognud","Baum66",0,0,0,11,11,-1,-1,0,0,0,0,0,0,0,10,-1,250,-2,-1,1,1 
"flscR","polbas","flscR","polbas","Powell10",0,0,0,27,19,26,9,0,2,2,1,6,21,25,2,3108000,24000,500,-1,1,0 
"fatpR","potcap","fatpR","potcap","Collins1",0,0,0,10,6,10,0,0,0,0,0,0,0,0,-1,15,700,1050,-3,-3,0 
"littO","potcly","littO","potcly","Eustace2",0,0,0,6,0,6,0,0,0,0,0,0,3,0,22,-1,-1,-1,-3,-1,0 
"flscR","prugen","flscR","prugen","Sorice89",0,0,0,22,15,25,13,0,3,8,2,5,17,17,5,3231,19,0,-1,1,0 
"guamO","ptemar","guamO","ptemar","Westfall",0,0,0,62,27,98,3,0,0,1,0,0,0,0,15,1687.5,3850,1433,544.5,1,1 
"harpO","ptinod","harpO","ptinod","Nevin195",0,0,1,25,0,0,0,0,0,0,0,0,0,0,-1,99,19.5,66.5,-3,1,0 
"coloR","ptyluc","coloR","ptyluc","Nielsen2",2,1,1,43,155,249,0,0,0,0,0,0,0,0,15,1748,1201,270,2569,-1,0 
"flopR","pumcon","flopR","pumcon","Abbitt15",2,1,1,35,30,78,10,4,0,0,6,0,0,0,-2,9937,802,975,-1,-1,-1 
"alamO","pyrneo","alamO","pyrneo","Mazzei21",0,0,0,15,0,12,0,0,0,0,0,0,0,0,9,0,21,36,-1,1,0 
"tombO","quasta","tombO","quasta","Counard5",0,0,0,7,5,7,1,0,0,0,0,3,0,0,-1,812000,0,0,-1,1,0 
"saltO","raloob","saltO","raloob","Grenier8",0,0,0,42,4,53,6,0,0,0,0,0,1,0,-2,-1,-1,-1,-1,1,0 
"yumaO","raloyu","yumaO","raloyu","Miner114",0,0,0,28,13,19,0,0,0,0,0,0,0,4,-1,-2,363,428,-3,1,0 
"selkR","rantar","selkR","rantar","Frisch13",0,0,0,33,43,51,0,0,0,0,0,0,0,41,10,1082,1422,50,-1,0,1 
"kendO","rhiosc","kendO","rhiosc","Hu18",0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1 
"chapO","rhocha","chapO","rhocha","van mant",0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,11,9,50,-1,1,0 
"everR","rossoc","everR","rossoc","Froelich",0,0,0,53,18,43,16,5,0,3,0,12,15,0,-1,773,1205,36,-1,1,0 
"grpiR","sarore","grpiR","sarore","Breuer18",0,0,0,18,0,31,0,0,0,6,0,2,13,0,-1,145.5,45,25,-1,-1,0 
"pallO","scaalb","pallO","scaalb","Latty22",1,1,0,56,34,30,0,0,0,0,17,3,0,0,47,-1,-1,-1,-1,1,1 
"maplO","schhal","maplO","schhal","Cade55",0,0,0,38,33,41,1,0,0,20,0,0,23,9,-1,-1,-1,481.5,-3,1,0 
"oahpO","schkaa","oahpO","schkaa","Robison1",0,-1,1,22,24,25,0,0,0,9,0,0,7,0,21,30737,10178,300,-1,1,1 
"oahpO","schkea","oahpO","schkea","Campbell",0,0,0,22,20,23,0,0,0,7,0,0,4,2,21,16065,9848,300,-3,-1,1 
"kaupO","schspe","kaupO","schspe","McCrumb8",0,0,0,44,33,45,6,1,1,1,1,0,26,1,22,14830.5,18477,530,-1,1,1 
"delmR","scinig","delmR","scinig","Morse75",2,1,1,27,2,32,0,0,0,0,0,4,1,0,17,0,359,149.5,-1,-1,1 
"enruO","soldry","enruO","soldry","Temple99",0,0,0,15,0,15,0,0,0,0,1,7,0,0,23,134.5,48,0,-1,-1,1 
"hougO","solhou","hougO","solhou","Satterth",1,1,1,19,9,26,0,0,0,0,0,4,7,0,11,261.5,148,97,-1,0,1 
"alabR","spepou","alabR","spepou","Lord104",0,0,0,16,8,12,0,0,0,0,7,0,4,0,50,205,195,69,-1,1,1 
"caleO","steant","caleO","steant","Sullivan",2,0,0,7,6,30,3,0,0,0,1,0,0,0,-2,71,-1,-1,-3,1,1 
"kaupO","stecam","kaupO","stecam","McCrumb8",0,0,0,44,33,45,6,1,1,1,1,0,26,1,22,14830.3,18477,530,-1,1,1 
"mexiO","strocc","mexiO","strocc","Kuhn124",2,1,1,12,22,24,0,24,0,0,0,0,0,45,10,23731,4695,10476,-3,1,1 
"loweO","sylpal","loweO","sylpal","Cade55",0,0,0,17,10,2,6,0,0,0,0,3,0,0,10,-1,-1,35,-3,-1,1 
"lanaO","tetrem","lanaO","tetrem","uriarte6",0,0,0,43,17,46,2,0,0,0,9,0,15,0,22,3977.3,15821.5,45,-1,1,1 
"karsO","texred","karsO","texred","belak72",0,1,0,22,-1,-1,-1,-1,-1,0,3,0,-1,-1,20,5175,1530,615,-1,1,1 
"coolO","thacoo","coolO","thacoo","Benedict",2,1,1,16,0,16,0,0,0,0,0,0,0,4,0,18,224,58.5,0,1,1 
"pedaO","theste","pedaO","theste","Thayer12",0,0,1,22,22,22,15,0,0,0,0,0,0,0,9,95,300,77,-1,1,0 
"soccO","thethe","soccO","thethe","Hohenloh",0,0,0,17,0,15,0,0,0,0,0,0,0,0,-1,-1,21,-1,-1,-1,1 
"prfeO","theyau","prfeO","theyau","Miller73",0,0,0,16,0,16,0,0,0,0,0,11,5,0,16,15,81,-2,0,-1,1 
"westR","triman","westR","triman","newby42",1,0,1,64,32,104,39,0,10,0,23,0,11,3,-2,16009,2940,234,-3,-1,1 
"bariO","tritri","bariO","tritri","Regetz13",0,0,0,21,0,21,1,0,0,0,0,11,2,0,34,61,10.5,0,-1,1,1 
"attwR","tymcup","attwR","tymcup","Bedford8",0,0,0,45,10,27,1,0,0,0,0,11,9,0,-1,-1,-1,-1,-1,1,0 
"grizR","ursarc","grizR","ursarc","Siegel84",1,1,1,50,47,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-3,1,1 
"flscR","warcar","flscR","warcar","Morse75",0,0,0,12,7,10,6,0,0,4,0,3,4,13,-1,3094,36,0,-1,1,0 
"cachO","xanriv","cachO","xanriv","hilderbr",1,0,1,2,9,0,0,0,0,0,0,0,0,0,-1,-1,-1,-2,-3,1,1 
"flscR","zizcel","flscR","zizcel","Morse75",2,0,0,18,4,17,3,0,0,5,6,5,13,-2,-1,324,37.2,0,-1,1,0 
"edwaR","ziztex","edwaR","ziztex","Musquiz1",2,0,0,0,20,65,25,0,36,3,4,0,1,13,0,4645,1242,15,-2,1,0 
