"PLAN","SPECIES","308FF","309FF","310FF","311FF","312FF","313FF","314FF","315FF","316FF","317FF","318FF","319FF","320FF","321FF","322FF","323FF","324FF","325FF","326FF","327FF","328FF","329FF","330FF","331FF","332FF","333FF","334FF","335FF","336FF","337FF","338FF","339FF","340FF","341FF","342FF","343FF"
"prcrO","pellem",-2,1,1,-2,4,-2,-2,-2,-2,-2,-2,1,-2,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"anasO","perpol",-2,3,3,1,5,-2,2,-2,2,1,-2,3,1,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"lanaO","phygla",0,5,0,0,3,0,0,2,3,0,9,7,2,0,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1 
"biadO","phyrac",0,4,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"redcR","picbor",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 
"ropiO","pleple",0,3,0,1,1,2,0,0,0,0,0,4,2,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1 
"shenO","pleshe",0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"fishR","poeocc",-2,2,-2,-2,-2,-2,1,-2,3,1,5,8,7,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",-2,1,-2,1,1,-2,-2,-2,2,-2,-2,5,4,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,4 
"flscR","polbas",0,0,0,0,0,0,0,0,1,0,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0 
"fatpR","potcap",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"littO","potcly",-2,0,0,0,-2,0,2,0,0,2,0,2,0,0,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"flscR","prugen",0,1,1,0,2,1,0,0,1,1,0,2,5,3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2 
"guamO","ptemar",1,3,0,1,1,10,5,0,0,0,0,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
