"PLAN","SPECIES","130H","131H","132H","133H","134H","135H","136H","137H","138H","139H","140H","141H","142H","143H","144H","145H","146H","147H","148H","149H","150H","151H","152H","153H","154H","155H","156H","157H","158H","159H","160H","161H","162H","163H","164H","165H","166H","167H"
"missR","grucan",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,-2 
"cacoR","gymcal",-2,-2,1,1,-2,2,1,-2,1,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2 
"gnomO","gymlin",1,-2,-2,-2,-2,2,-2,-2,3,-2,-2,2,2,2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"todsO","hedtod",2,2,-2,2,-2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,2,2,2,1,2 
"oahpO","hesarb",2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,3,3,-2,-2,3,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"moloO","hibarn",2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,2,2,-2,2,2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2 
"kaupO","hibcla",2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,1,2,-2,1,2,2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"kauaO","hibwoo",2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,1,-2,1,-2,2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,2,2,-2,-2 
"hawwR","himmex",-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2 
"flscO","hypcum",3,1,-2,-2,-2,1,1,-2,1,1,-2,2,2,2,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,1,-2 
"smalR","isomed",-2,1,-2,-2,-2,2,1,-2,1,-2,-2,-2,2,2,-2,-2,1,-2,-2,1,3,-2,-2,-2,2,-2,3,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"beacO","jacrec",2,-2,-2,-2,-2,2,2,-2,2,-2,-2,2,-2,2,-2,1,-2,-2,-2,-2,2,1,2,1,2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"oahpO","labcyr",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,-1,2,-2,-2,2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"pinkO","lamabr",2,2,-2,-2,-2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",1,1,-2,-2,-2,1,-2,-2,1,-2,-2,1,1,1,-2,1,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,2,-2,-2,-2 
"caroO","lasdec",1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,1,2,-2,1,1,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"praiO","leslep",2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,2,2,2,2,-2,2,2,2,2,2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"flscR","liaohl",-2,1,-2,-2,-2,1,-2,-2,1,-2,-2,1,1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"kaupO","lipfau",2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,1,2,-2,1,2,2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"oahpO","loboah",1,1,-2,-2,-2,2,2,-2,1,-2,-2,1,1,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,-2,-2,-2,1,1,2,-2 
"flscR","lupari",-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"lotiO","lycarg",2,1,1,-2,-2,-2,-2,-2,2,-2,2,1,2,-2,-2,2,-2,2,2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,2,-2 
"roleO","lysasp",-2,2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"apalO","macalb",1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,1,-2 
"mohrO","marmoh",2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,3,-2,2,2,-2,2,-2,2,2,2,2,-2,2,2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","melpal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,1,-2,-2 
"oahpO","melsai",1,1,-2,-2,-2,1,1,2,1,1,-2,1,1,1,1,2,2,-2,2,2,2,2,2,2,-2,1,1,1,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"armaO","miccal",1,1,-2,-2,-2,-2,2,-2,2,-2,-2,1,-2,1,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"hualO","micmex",2,1,-2,-2,-2,-1,-2,1,3,-2,-2,3,3,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,3,-2,-2,-2,-2,-2,3,2,-2,-2 
"blacR","musnig",-2,1,1,1,-2,1,-2,-2,-2,-2,-2,1,2,-2,-2,1,1,-2,-2,-2,1,1,1,1,-2,-2,3,-2,2,-2,1,1,1,1,1,2,-2,-2 
