"PLAN","SPECIES","308KK","309KK","310KK","311KK","312KK","313KK","314KK","315KK","316KK","317KK","318KK","319KK","320KK","321KK","322KK","323KK","324KK","325KK","326KK","327KK","328KK","329KK","330KK","331KK","332KK","333KK","334KK","335KK","336KK","337KK","338KK","339KK","340KK","341KK","342KK","343KK"
"todsO","hedtod",-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",-2,0,-2,-2,1,-3,1,0,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,0,-2,0,2,-2,-2,0,1,-2,1,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"kaupO","hibcla",-2,1,1,-2,1,-2,1,0,1,1,-2,1,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",-2,-2,-2,-2,1,-2,0,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",-2,-2,-2,-2,-2,1,1,1,1,-2,-2,1,1,-2,1,1,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2 
"flscO","hypcum",-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"smalR","isomed",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",-2,1,1,-2,1,1,-2,-2,1,1,-2,1,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1 
"oahpO","labcyr",-2,0,-2,-2,1,-2,1,-2,-2,1,-2,1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
