"PLAN","SPECIES","347PP","348PP","349PP","350PP","351PP","352PP","353PP","354PP","355PP","356PP","357PP","358PP","359PP","360PP","361PP","362PP","363PP","364PP","365PP","366PP","367PP","368PP","369PP","370PP"
"flscR","prugen",1,1,1,-2,-2,1,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2 
"guamO","ptemar",2,2,2,2,2,-2,1,1,-2,2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2 
"harpO","ptinod",1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,-2 
"coloR","ptyluc",2,2,2,1,-2,1,2,2,2,-2,2,-2,-2,-2,-2,-2,1,2,-2,1,-2,1,-2,-2 
"flopR","pumcon",3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alamO","pyrneo",2,2,-2,-2,-2,-2,3,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"tombO","quasta",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",2,2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2,-2,-2 
"selkR","rantar",-2,-2,1,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,3,-2,-2,2,2,2,2,-2 
"kendO","rhiosc",-2,-2,2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"chapO","rhocha",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,1,-2,-2,-2,-2,2,-2,-2,3,1,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",2,2,2,2,2,2,2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,1,-2,1,1,-2 
"pallO","scaalb",1,1,1,1,1,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2 
"maplO","schhal",1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2 
"oahpO","schkaa",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,2,-2,-2,2,-2,-2 
"oahpO","schkea",-2,2,2,2,2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,2,-2,2,2,-2,-2,2,2,-2 
"kaupO","schspe",1,1,1,1,1,1,2,2,2,1,-2,2,-2,-2,1,1,1,1,1,1,1,1,1,-2 
"delmR","scinig",3,2,-2,-2,-2,-2,2,-2,-2,-2,2,2,3,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2 
"enruO","soldry",1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2 
"alabR","spepou",-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1 
"caleO","steant",-2,1,1,1,1,-2,1,2,2,-2,2,3,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,2 
"kaupO","stecam",1,1,1,1,1,1,2,2,2,1,-2,2,2,-2,1,1,1,1,1,1,1,1,1,-2 
"mexiO","strocc",-2,1,1,-2,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2 
"loweO","sylpal",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",1,1,1,-2,-2,1,-2,-2,1,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,1,1,1 
"karsO","texred",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,-2,1,-2,-2,-2,1,1,1 
"coolO","thacoo",1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2 
"pedaO","theste",-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,2,2,2,2,-2 
"soccO","thethe",-2,1,1,-2,-2,1,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"prfeO","theyau",-2,1,-2,-2,-2,-2,1,-2,-2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2 
"westR","triman",-2,1,1,-2,1,-2,2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2 
