"PLAN","SPECIES","347WW","348WW","349WW","350WW","351WW","352WW","353WW","354WW","355WW","356WW","357WW","358WW","359WW","360WW","361WW","362WW","363WW","364WW","365WW","366WW","367WW","368WW","369WW","370WW"
"saltO","raloob",-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",1,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-1,0,-2,-2,-2 
"selkR","rantar",-2,-2,1,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,0,0,0,0,-2 
"kendO","rhiosc",-2,-2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"chapO","rhocha",-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,-1,1,-2,-2,-2,1,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2,2,2,2,2,-2 
"grpiR","sarore",1,2,1,1,1,2,1,-2,1,2,-2,-2,-2,-2,0,-2,-2,-2,-2,1,1,1,1,-2 
"pallO","scaalb",1,1,1,1,1,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"maplO","schhal",1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2 
"oahpO","schkaa",1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,1,1,-3,-3,1,-3,-3 
"oahpO","schkea",-2,-1,-1,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,0,-2,0,-1,-2,-2,-1,-1,-2 
"kaupO","schspe",0,0,0,0,0,0,0,0,0,1,-2,0,0,-2,1,0,0,0,0,0,0,0,0,0 
"delmR","scinig",1,1,1,-2,-2,-2,1,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2 
"enruO","soldry",1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1 
"alabR","spepou",-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3 
"caleO","steant",-2,1,1,1,1,-2,1,1,1,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,1 
"kaupO","stecam",1,1,0,0,0,0,0,0,0,1,-2,0,0,-2,0,1,0,1,0,1,1,1,1,0 
"mexiO","strocc",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"loweO","sylpal",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2 
