"PLAN","SPECIES","347OO","348OO","349OO","350OO","351OO","352OO","353OO","354OO","355OO","356OO","357OO","358OO","359OO","360OO","361OO","362OO","363OO","364OO","365OO","366OO","367OO","368OO","369OO","370OO"
"kendO","rhiosc",0,0,2,-2,-2,-2,0,0,2,0,0,0,-2,0,0,0,0,0,-2,0,0,0,2,-2 
"chapO","rhocha",0,1,0,0,0,0,0,0,0,0,-2,0,1,-2,-2,0,0,0,-2,0,0,0,0,0 
"everR","rossoc",0,1,0,0,0,0,2,0,0,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0 
"grpiR","sarore",1,1,1,3,3,1,3,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,2,-2,4,4,-2 
"pallO","scaalb",1,2,2,2,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0 
"maplO","schhal",1,0,0,0,0,2,0,0,0,0,0,0,2,-2,0,0,0,1,1,0,0,0,0,0 
"oahpO","schkaa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0 
"oahpO","schkea",0,1,1,1,1,0,0,0,1,0,-2,1,0,0,0,1,0,1,1,0,0,1,1,0 
"kaupO","schspe",7,7,4,7,4,4,2,2,2,1,-2,5,0,-2,4,6,2,4,2,5,5,5,5,0 
"delmR","scinig",1,1,2,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,4,0 
"enruO","soldry",1,1,0,-2,-2,1,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0 
"hougO","solhou",1,3,2,2,2,2,0,0,0,0,-2,0,0,0,0,0,0,0,0,2,2,2,2,1 
"alabR","spepou",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 
"caleO","steant",0,2,2,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1 
"kaupO","stecam",7,7,4,7,4,4,2,2,2,1,-2,5,0,-2,4,6,2,4,2,5,5,5,5,0 
"mexiO","strocc",0,36,7,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6,2,11,2,0 
"loweO","sylpal",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
"lanaO","tetrem",1,2,1,0,0,2,0,0,1,0,-2,1,2,-2,0,0,0,2,2,0,0,1,1,1 
"karsO","texred",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,3,3,1 
"coolO","thacoo",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0 
"pedaO","theste",0,2,2,1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0 
"soccO","thethe",0,3,2,0,0,2,2,2,2,0,0,0,-2,0,0,0,0,0,-2,0,0,3,2,-2 
"prfeO","theyau",0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0 
"westR","triman",0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0 
"bariO","tritri",0,1,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0 
"attwR","tymcup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 
"grizR","ursarc",3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,0 
"flscR","warcar",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1 
"cachO","xanriv",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0 
"flscR","zizcel",2,0,1,0,0,0,0,0,0,1,0,0,-2,0,0,0,0,1,-2,0,0,0,0,-2 
"edwaR","ziztex",2,3,3,2,3,2,1,1,0,0,0,0,0,0,0,2,0,2,0,4,4,4,4,0 
