"PLAN","SPECIES","89E","90E","91E","92E","93E","94E","95E","96E","97E","98E","99E","100E","101E","102E","103E","104E","105E","106E","107E","108E","109E","110E","111E","112E","113E","114E","115E","116E","117E","118E","119E","120E","121E","122E","123E","124E","125E","126E"
"lanaO","gahlan",4,4,-2,-2,-2,1,4,1,0,1,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2 
"hawwR","galchl",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",2,2,-2,-2,-2,-2,-2,2,2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawgO","garbri",2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",0,-2,-2,-2,-2,0,-2,1,1,-2,-2,-2,0,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,0,-2,0,-2,-2,-2,0,0,-2,0,-2,-2,-2 
"maplO","gerarb",0,-2,-2,-2,-2,-2,-2,-2,3,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,0,-2,-2 
"humpR","gilcyp",1,-2,-2,-2,-2,1,-2,1,1,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,-2,-2 
"bonyR","gilele",0,0,-2,1,-2,0,0,1,5,1,-2,5,-2,0,-2,3,-2,-2,2,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,2,-2,2,-2,-2,0 
"chihO","gilnig",-2,0,0,0,-2,0,0,0,2,0,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,1,4,4,-2,2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
