"PLAN","SPECIES","308II","309II","310II","311II","312II","313II","314II","315II","316II","317II","318II","319II","320II","321II","322II","323II","324II","325II","326II","327II","328II","329II","330II","331II","332II","333II","334II","335II","336II","337II","338II","339II","340II","341II","342II","343II"
"hawwR","galchl",-2,-2,-2,-2,-2,0,0,-2,-2,-2,0,0,0,-2,0,0,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"edwaR","gamgeo",-2,0,-2,-2,0,-2,0,0,0,0,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawgO","garbri",-2,1,-2,-2,1,-2,1,1,-2,1,1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",-2,0,-2,0,-2,-2,-2,-2,0,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",-2,0,-2,0,0,-2,0,0,0,0,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,0,-2,-2,0,0,1,-2,1,1,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,1,-2,-2,0,-2,-2,-2,0,0,0,1,0,-2,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"chihO","gilnig",-2,0,-2,-2,0,0,-2,-2,0,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","gilpur",-2,0,-2,-2,-2,-2,-2,-2,0,0,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",-2,1,-2,-2,1,0,-2,0,-2,-2,-2,1,1,-2,1,-2,-2,1,1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
