"PLAN","SPECIES","347UU","348UU","349UU","350UU","351UU","352UU","353UU","354UU","355UU","356UU","357UU","358UU","359UU","360UU","361UU","362UU","363UU","364UU","365UU","366UU","367UU","368UU","369UU","370UU"
"mexiO","strocc",-2,2,2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2 
"loweO","sylpal",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",0,0,0,-2,-2,0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,0,0,0 
"karsO","texred",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,1,1,1 
"coolO","thacoo",1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2 
"pedaO","theste",-2,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,1,1,1,1,-2 
"soccO","thethe",-2,0,0,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"prfeO","theyau",-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2 
"westR","triman",-2,1,2,-2,2,-2,1,1,1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2 
"bariO","tritri",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
